Tiempo desde erupcion (d);Magnitud;error (mag);Banda
1,631639;7,413;0,009;V
1,632009;7,412;0,01;V
1,63238;7,417;0,009;V
1,63275;7,468;0,009;V
1,633132;7,419;0,01;V
1,633502;7,433;0,009;V
1,633873;7,397;0,009;V
1,634243;7,412;0,009;V
1,634613;7,442;0,009;V
1,635007;7,401;0,009;V
1,635377;7,408;0,009;V
1,635748;7,421;0,01;V
1,636118;7,43;0,01;V
1,6365;7,429;0,009;V
1,636893;7,426;0,009;V
1,637275;7,425;0,009;V
1,637669;7,414;0,01;V
1,638051;7,442;0,01;V
1,638444;7,417;0,009;V
1,638826;7,428;0,009;V
1,63922;7,434;0,01;V
1,639602;7,454;0,009;V
1,639984;7,419;0,009;V
1,640366;7,443;0,009;V
1,640748;7,442;0,01;V
1,641141;7,432;0,01;V
1,641523;7,461;0,009;V
1,641905;7,438;0,009;V
1,642287;7,445;0,01;V
1,642681;7,437;0,009;V
1,643062;7,446;0,009;V
1,643444;7,445;0,009;V
1,643838;7,428;0,009;V
1,644231;7,422;0,009;V
1,644613;7,444;0,009;V
1,645007;7,436;0,01;V
1,645389;7,461;0,01;V
1,645782;7,422;0,009;V
1,646187;7,449;0,009;V
1,646581;7,441;0,01;V
1,646974;7,423;0,01;V
1,647333;7,441;0,009;V
1,647715;7,443;0,009;V
1,648086;7,445;0,009;V
1,648468;7,465;0,009;V
1,648849;7,442;0,009;V
1,64922;7,386;0,01;V
1,649602;7,415;0,011;V
1,649995;7,529;0,01;V
1,650377;7,447;0,01;V
1,650771;7,469;0,009;V
1,651153;7,382;0,012;V
1,651535;7,43;0,012;V
1,652275;7,476;0,01;V
1,652646;7,46;0,01;V
1,653039;7,486;0,01;V
1,653398;7,449;0,009;V
1,65378;7,464;0,01;V
1,654162;7,444;0,01;V
1,654532;7,442;0,009;V
1,654914;7,479;0,01;V
1,655319;7,457;0,01;V
1,655701;7,464;0,009;V
1,656072;7,469;0,01;V
1,656454;7,444;0,01;V
1,656836;7,471;0,009;V
1,657194;7,461;0,01;V
1,657576;7,479;0,01;V
1,657958;7,451;0,01;V
